case,mass_g,wing_loading_g_dm2,speed_km_h,required_cl,reynolds_mac,profile_drag_n,induced_drag_n,total_wing_drag_n,wing_ld,clean_stall_km_h,nominal_stall_km_h,conservative_stall_km_h
2400g,2400.0,66.66666666666667,50.0,0.5533352228571428,214861.85583136082,0.43488614114622515,0.6477245932526617,1.0826107343988869,21.74000243316283,34.4935546875,35.04747091280753,37.55181607875855
2400g,2400.0,66.66666666666667,60.0,0.38426057142857134,257834.226997633,0.5502054429145609,0.4498087453143485,1.0000141882289093,23.53562607114978,34.4935546875,35.04747091280753,37.55181607875855
2400g,2400.0,66.66666666666667,70.0,0.282313889212828,300806.59816390515,0.7443032723790152,0.3304717312513582,1.0747750036303734,21.898499612012067,34.4935546875,35.04747091280753,37.55181607875855
2400g,2400.0,66.66666666666667,80.0,0.2161465714285714,343778.96933017735,1.0259885409354241,0.25301741923932103,1.2790059601747452,18.401759438857017,34.4935546875,35.04747091280753,37.55181607875855
2400g,2400.0,66.66666666666667,90.0,0.17078247619047618,386751.3404964495,1.3338426041262843,0.19991499791748824,1.5337576020437724,15.34529313408958,34.4935546875,35.04747091280753,37.55181607875855
2600g,2600.0,72.22222222222223,50.0,0.5994464914285713,214861.85583136082,0.4369984409443647,0.760176779581249,1.1971752205256136,21.29787650366297,35.9068359375,36.47856428323486,39.085169374678664
2600g,2600.0,72.22222222222223,60.0,0.4162822857142856,257834.226997633,0.5461570986956577,0.5279005413758673,1.074057640071525,23.739219431744885,35.9068359375,36.47856428323486,39.085169374678664
2600g,2600.0,72.22222222222223,70.0,0.30584004664723036,300806.59816390515,0.7200320628124786,0.387845295704719,1.1078773585171975,23.0145420014053,35.9068359375,36.47856428323486,39.085169374678664
2600g,2600.0,72.22222222222223,80.0,0.2341587857142857,343778.96933017735,0.9976115750371739,0.2969440545239254,1.2945556295610994,19.695785501813077,35.9068359375,36.47856428323486,39.085169374678664
2600g,2600.0,72.22222222222223,90.0,0.1850143492063492,386751.3404964495,1.3091991206449898,0.23462246283371888,1.5438215834787086,16.515697327243412,35.9068359375,36.47856428323486,39.085169374678664
