alpha_deg,cl,cd,cdp,cm,xtr_top,xtr_bottom,source
-5.75,-0.2783,0.02446,0.01138,-0.0817,0.9332,0.0503,forward
-5.5,-0.2507,0.02337,0.01017,-0.0817,0.9266,0.052,forward
-5.25,-0.2214,0.02252,0.00951,-0.0823,0.9203,0.0534,forward
-5.0,-0.1882,0.02162,0.00872,-0.0834,0.9159,0.0549,forward
-4.75,-0.1577,0.02078,0.00794,-0.0839,0.9106,0.0565,forward
-4.5,-0.1311,0.0201,0.00739,-0.0837,0.9028,0.0581,forward
-4.25,-0.0994,0.01948,0.00692,-0.0845,0.8977,0.0608,forward
-4.0,-0.0696,0.01888,0.00644,-0.0848,0.8919,0.0637,forward
-3.75,-0.0437,0.0184,0.00609,-0.0845,0.8838,0.0666,forward
-3.5,-0.0129,0.01784,0.00566,-0.085,0.8784,0.0706,forward
-3.25,0.0145,0.0174,0.00534,-0.0848,0.8713,0.0767,forward
-3.0,0.0415,0.01696,0.00504,-0.0846,0.8636,0.0857,forward
-2.75,0.0721,0.01642,0.00468,-0.085,0.8583,0.1006,forward
-2.5,0.0971,0.01604,0.0045,-0.0845,0.8497,0.124,forward
-2.25,0.1251,0.0156,0.00431,-0.0845,0.8427,0.162,forward
-2.0,0.1535,0.01518,0.00418,-0.0846,0.836,0.2163,forward
-1.75,0.1783,0.01479,0.00413,-0.084,0.826,0.2883,forward
-1.5,0.206,0.01424,0.00397,-0.0838,0.8181,0.3772,forward
-1.25,0.2291,0.01375,0.00392,-0.0827,0.8064,0.4805,forward
-1.0,0.2533,0.01316,0.00385,-0.0814,0.7962,0.6221,forward
-0.75,0.2776,0.01269,0.00387,-0.0795,0.785,0.7831,forward
-0.5,0.3281,0.01248,0.00384,-0.0828,0.774,0.9347,forward
-0.25,0.3916,0.01235,0.00363,-0.0898,0.7644,1.0,forward
0.0,0.4152,0.0124,0.00356,-0.089,0.7533,1.0,forward
0.25,0.4411,0.01241,0.00341,-0.0884,0.7438,1.0,forward
0.5,0.4643,0.01249,0.00339,-0.0874,0.7321,1.0,forward
0.75,0.4898,0.01254,0.00329,-0.0868,0.7222,1.0,forward
1.0,0.5138,0.01262,0.00325,-0.0859,0.7102,1.0,forward
1.25,0.5384,0.01271,0.00321,-0.0851,0.6985,1.0,forward
1.5,0.5638,0.01278,0.00312,-0.0844,0.687,1.0,forward
1.75,0.5877,0.01289,0.00313,-0.0836,0.6741,1.0,forward
2.0,0.6127,0.013,0.0031,-0.0829,0.6621,1.0,forward
2.25,0.6377,0.01311,0.00305,-0.0821,0.6492,1.0,forward
2.5,0.6617,0.01325,0.00305,-0.0813,0.6346,1.0,forward
2.75,0.6861,0.01339,0.00304,-0.0805,0.6197,1.0,forward
3.0,0.7106,0.01354,0.00302,-0.0797,0.6047,1.0,forward
3.25,0.7351,0.0137,0.003,-0.0789,0.5896,1.0,forward
3.5,0.7593,0.01389,0.003,-0.0781,0.5733,1.0,forward
3.75,0.7831,0.0141,0.00302,-0.0772,0.5558,1.0,forward
4.0,0.8067,0.01432,0.00304,-0.0763,0.5376,1.0,forward
4.25,0.8302,0.01458,0.00307,-0.0754,0.5193,1.0,forward
4.5,0.8535,0.01485,0.00313,-0.0745,0.5014,1.0,forward
4.75,0.8766,0.01515,0.0032,-0.0736,0.4834,1.0,forward
5.0,0.8995,0.01547,0.00328,-0.0727,0.4657,1.0,forward
5.25,0.9224,0.01581,0.00338,-0.0717,0.449,1.0,forward
5.5,0.945,0.01618,0.00349,-0.0708,0.4332,1.0,forward
5.75,0.9674,0.01656,0.0036,-0.0698,0.4182,1.0,forward
6.25,1.0108,0.01739,0.00386,-0.0678,0.3873,1.0,forward
6.5,1.0319,0.01783,0.004,-0.0667,0.3713,1.0,forward
6.75,1.053,0.01828,0.00416,-0.0656,0.3571,1.0,forward
7.0,1.0742,0.01876,0.00432,-0.0646,0.3459,1.0,forward
7.25,1.096,0.01918,0.00454,-0.0637,0.3351,1.0,forward
7.5,1.1172,0.01966,0.00473,-0.0627,0.3252,1.0,forward
7.75,1.1381,0.02012,0.00495,-0.0617,0.3147,1.0,forward
8.0,1.1588,0.02061,0.00517,-0.0606,0.3046,1.0,forward
8.25,1.1783,0.02112,0.00538,-0.0594,0.2939,1.0,forward
8.5,1.1982,0.02159,0.00563,-0.0582,0.2826,1.0,forward
8.75,1.2163,0.02212,0.00585,-0.0568,0.2711,1.0,forward
9.0,1.2337,0.02266,0.00608,-0.0553,0.2581,1.0,forward
9.25,1.2501,0.02322,0.00633,-0.0537,0.2428,1.0,forward
9.5,1.2632,0.02385,0.00657,-0.0516,0.2249,1.0,forward
9.75,1.2739,0.02461,0.00686,-0.0493,0.2047,1.0,forward
10.0,1.2831,0.02554,0.00726,-0.047,0.1836,1.0,forward
10.25,1.2907,0.02664,0.00778,-0.0446,0.1655,1.0,forward
10.5,1.2984,0.02782,0.00841,-0.0424,0.1511,1.0,forward
10.75,1.3062,0.02904,0.00911,-0.0403,0.1393,1.0,forward
11.0,1.3139,0.03032,0.00987,-0.0384,0.1293,1.0,forward
11.25,1.3209,0.03169,0.0107,-0.0365,0.1206,1.0,forward
11.75,1.3336,0.03467,0.01258,-0.0332,0.105,1.0,forward
12.0,1.3393,0.03629,0.01364,-0.0317,0.0976,1.0,forward
12.25,1.3436,0.03808,0.01483,-0.0303,0.09,1.0,forward
12.5,1.347,0.04003,0.01615,-0.0291,0.0819,1.0,forward
12.75,1.3498,0.04211,0.01758,-0.028,0.0736,1.0,forward
13.0,1.3513,0.0444,0.01919,-0.027,0.0649,1.0,forward
13.25,1.3514,0.04691,0.02098,-0.0262,0.0545,1.0,forward
13.5,1.3481,0.04987,0.02316,-0.0256,0.0442,1.0,forward
13.75,1.3421,0.05325,0.02576,-0.0251,0.0366,1.0,forward
14.0,1.3346,0.05693,0.02869,-0.025,0.0322,1.0,forward
14.25,1.3265,0.06086,0.03191,-0.0251,0.0297,1.0,forward
14.5,1.3173,0.06511,0.03548,-0.0256,0.028,1.0,forward
14.75,1.3081,0.06956,0.03932,-0.0263,0.0268,1.0,forward
15.0,1.2981,0.07432,0.04352,-0.0274,0.0259,1.0,forward
15.25,1.287,0.07942,0.04813,-0.0288,0.0252,1.0,forward
15.5,1.2745,0.08492,0.05325,-0.0305,0.0247,1.0,forward
15.75,1.2634,0.09034,0.05843,-0.0323,0.0242,1.0,forward
16.0,1.252,0.09599,0.06399,-0.0344,0.0237,1.0,forward
16.25,1.2406,0.10175,0.06987,-0.0367,0.0232,1.0,forward
16.5,1.2293,0.1076,0.07607,-0.0392,0.0228,1.0,forward
16.75,1.2184,0.11348,0.08259,-0.0418,0.0224,1.0,forward
17.0,1.2081,0.11932,0.08936,-0.0445,0.0221,1.0,forward
17.25,1.1993,0.12497,0.09619,-0.0473,0.0217,1.0,forward
17.5,1.1928,0.13023,0.10282,-0.0499,0.0213,1.0,forward
17.75,1.1871,0.13538,0.10958,-0.0526,0.0208,1.0,forward
18.0,1.1821,0.14041,0.11646,-0.0553,0.0203,1.0,forward
