alpha_deg,cl,cd,cdp,cm,xtr_top,xtr_bottom,source
-6.0,-0.3862,0.05679,0.04773,-0.0578,0.9726,0.129,forward
-5.5,-0.3318,0.05072,0.04216,-0.0634,0.9608,0.1436,forward
-5.0,-0.2653,0.03876,0.02944,-0.074,0.9507,0.1316,forward
-4.75,-0.2392,0.02621,0.01452,-0.0738,0.9445,0.0765,forward
-4.5,-0.205,0.02484,0.01314,-0.0751,0.9388,0.0775,forward
-4.25,-0.1649,0.02367,0.0119,-0.0775,0.935,0.08,forward
-4.0,-0.1217,0.02256,0.01055,-0.0803,0.9323,0.082,forward
-3.5,-0.0589,0.02083,0.00932,-0.0817,0.919,0.0875,forward
-3.25,-0.0167,0.01993,0.00867,-0.0845,0.9159,0.093,forward
-3.0,0.0259,0.01904,0.008,-0.0872,0.9134,0.1002,forward
-2.75,0.0471,0.01858,0.00774,-0.086,0.9031,0.1085,forward
-2.5,0.0841,0.01768,0.00722,-0.0876,0.8985,0.1327,forward
-2.25,0.1227,0.0165,0.00666,-0.0896,0.895,0.2152,forward
-2.0,0.1441,0.01598,0.00662,-0.0884,0.8837,0.3104,forward
-1.75,0.1781,0.01506,0.00627,-0.0892,0.8781,0.43,forward
-1.5,0.1977,0.01422,0.00627,-0.0871,0.868,0.6158,forward
-1.25,0.2382,0.01337,0.00632,-0.0869,0.8626,0.9084,forward
-1.0,0.3347,0.01283,0.00579,-0.0995,0.8604,0.9994,forward
-0.75,0.3586,0.01277,0.00561,-0.0986,0.8497,1.0,forward
-0.5,0.3854,0.01263,0.00536,-0.0981,0.841,1.0,forward
-0.25,0.4082,0.01264,0.00527,-0.0969,0.8305,1.0,forward
0.0,0.435,0.01254,0.00506,-0.0963,0.8219,1.0,forward
0.25,0.4579,0.01258,0.005,-0.0952,0.8111,1.0,forward
0.5,0.4853,0.01248,0.00478,-0.0947,0.8021,1.0,forward
0.75,0.5077,0.01254,0.00475,-0.0934,0.7903,1.0,forward
1.0,0.5362,0.01245,0.00452,-0.093,0.7816,1.0,forward
1.25,0.5582,0.01254,0.00454,-0.0917,0.7691,1.0,forward
1.5,0.5845,0.01254,0.00441,-0.091,0.759,1.0,forward
1.75,0.6093,0.01257,0.00433,-0.0901,0.747,1.0,forward
2.0,0.6335,0.01263,0.00428,-0.0891,0.7343,1.0,forward
2.25,0.6603,0.01263,0.00411,-0.0885,0.7228,1.0,forward
2.5,0.6844,0.01269,0.00407,-0.0875,0.7088,1.0,forward
2.75,0.7087,0.01278,0.00404,-0.0865,0.6946,1.0,forward
3.0,0.7339,0.01285,0.00395,-0.0857,0.6806,1.0,forward
3.25,0.7595,0.01292,0.00383,-0.0849,0.6657,1.0,forward
3.5,0.784,0.01301,0.00374,-0.0839,0.6488,1.0,forward
3.75,0.8079,0.01313,0.00368,-0.0829,0.6304,1.0,forward
4.0,0.8318,0.01328,0.00363,-0.0819,0.6112,1.0,forward
4.25,0.8554,0.01347,0.0036,-0.0808,0.5907,1.0,forward
4.5,0.8782,0.0137,0.00361,-0.0796,0.5683,1.0,forward
4.75,0.9011,0.01398,0.00365,-0.0786,0.5463,1.0,forward
5.0,0.9241,0.0143,0.0037,-0.0775,0.5254,1.0,forward
5.25,0.9472,0.01465,0.00379,-0.0765,0.5059,1.0,forward
5.5,0.9702,0.01502,0.00389,-0.0756,0.4878,1.0,forward
5.75,0.9929,0.01538,0.00398,-0.0746,0.4704,1.0,forward
6.0,1.0152,0.01574,0.00406,-0.0736,0.4532,1.0,forward
6.25,1.0375,0.01612,0.00414,-0.0726,0.4373,1.0,forward
6.5,1.0603,0.01652,0.00427,-0.0717,0.4235,1.0,forward
6.75,1.083,0.01691,0.00448,-0.0708,0.4108,1.0,forward
7.0,1.1061,0.01737,0.00465,-0.07,0.3993,1.0,forward
7.25,1.1287,0.01779,0.00483,-0.0692,0.3875,1.0,forward
7.5,1.1509,0.01824,0.00506,-0.0683,0.3759,1.0,forward
7.75,1.1736,0.01876,0.00521,-0.0675,0.3648,1.0,forward
8.0,1.1943,0.01917,0.00546,-0.0663,0.3526,1.0,forward
8.25,1.2153,0.01968,0.00568,-0.0653,0.3406,1.0,forward
8.5,1.2361,0.02024,0.00583,-0.0642,0.3281,1.0,forward
8.75,1.2534,0.02065,0.00603,-0.0625,0.3136,1.0,forward
9.0,1.2695,0.02111,0.00619,-0.0607,0.2976,1.0,forward
9.25,1.2838,0.02157,0.00631,-0.0586,0.2803,1.0,forward
9.5,1.2963,0.02206,0.00643,-0.0563,0.2613,1.0,forward
9.75,1.3069,0.02264,0.00657,-0.0537,0.2414,1.0,forward
10.0,1.3147,0.02334,0.00679,-0.0508,0.2213,1.0,forward
10.25,1.3228,0.02419,0.00714,-0.0481,0.201,1.0,forward
10.5,1.3298,0.02523,0.00761,-0.0455,0.184,1.0,forward
10.75,1.3368,0.02639,0.0082,-0.043,0.1704,1.0,forward
11.0,1.3432,0.02765,0.00885,-0.0407,0.1592,1.0,forward
11.25,1.3499,0.02894,0.00956,-0.0386,0.1492,1.0,forward
11.5,1.3584,0.03018,0.0103,-0.0368,0.1398,1.0,forward
11.75,1.365,0.03156,0.0111,-0.0349,0.131,1.0,forward
12.0,1.37,0.03308,0.01199,-0.0332,0.1218,1.0,forward
12.25,1.3742,0.03474,0.01299,-0.0317,0.1126,1.0,forward
12.5,1.3786,0.03649,0.01408,-0.0303,0.1016,1.0,forward
12.75,1.3807,0.03854,0.0154,-0.029,0.0884,1.0,forward
13.0,1.3774,0.04122,0.01716,-0.0277,0.0734,1.0,forward
13.25,1.3705,0.0444,0.01933,-0.0265,0.0599,1.0,forward
13.5,1.3627,0.0478,0.02176,-0.0256,0.0523,1.0,forward
13.75,1.3557,0.05125,0.02432,-0.025,0.0473,1.0,forward
14.0,1.3495,0.05475,0.02699,-0.0246,0.0437,1.0,forward
14.25,1.3427,0.05846,0.0299,-0.0245,0.0412,1.0,forward
14.5,1.3355,0.06234,0.03301,-0.0247,0.0392,1.0,forward
14.75,1.3286,0.06632,0.03627,-0.025,0.0376,1.0,forward
15.0,1.3222,0.07035,0.03961,-0.0255,0.0361,1.0,forward
15.25,1.315,0.07455,0.04312,-0.0261,0.0352,1.0,forward
15.5,1.3094,0.07856,0.04649,-0.0267,0.0343,1.0,forward
15.75,1.3057,0.08238,0.04973,-0.0272,0.0333,1.0,forward
16.0,1.3027,0.08608,0.05288,-0.0277,0.0325,1.0,forward
16.25,1.301,0.08952,0.05578,-0.0281,0.0317,1.0,forward
16.5,1.3025,0.09233,0.05798,-0.028,0.031,1.0,forward
