alpha_deg,cl,cd,cdp,cm,xtr_top,xtr_bottom,source
18.0,1.3476,0.11098,0.08117,-0.0445,0.0072,1.0,reverse
17.75,1.3577,0.1055,0.07551,-0.0423,0.0072,1.0,reverse
17.5,1.3681,0.10001,0.07005,-0.0402,0.0073,1.0,reverse
17.25,1.3788,0.09453,0.06478,-0.0382,0.0073,1.0,reverse
17.0,1.3895,0.08915,0.05975,-0.0364,0.0074,1.0,reverse
16.75,1.3996,0.08396,0.05502,-0.0348,0.0075,1.0,reverse
16.5,1.4092,0.07894,0.05056,-0.0334,0.0076,1.0,reverse
16.25,1.4181,0.07412,0.04636,-0.0321,0.0077,1.0,reverse
16.0,1.4259,0.06956,0.04246,-0.031,0.0078,1.0,reverse
15.75,1.4326,0.0653,0.03888,-0.0302,0.0079,1.0,reverse
15.5,1.4382,0.0613,0.03558,-0.0296,0.008,1.0,reverse
15.25,1.4424,0.05759,0.03257,-0.0292,0.0082,1.0,reverse
15.0,1.4452,0.05418,0.02984,-0.029,0.0083,1.0,reverse
14.75,1.4473,0.05099,0.02733,-0.029,0.0084,1.0,reverse
14.5,1.4515,0.04766,0.02474,-0.0292,0.0086,1.0,reverse
14.25,1.4529,0.04478,0.02254,-0.0297,0.0088,1.0,reverse
14.0,1.452,0.04224,0.02065,-0.0302,0.009,1.0,reverse
13.75,1.4495,0.03995,0.01896,-0.031,0.0093,1.0,reverse
13.5,1.4458,0.03785,0.01745,-0.0318,0.0096,1.0,reverse
13.25,1.4407,0.03594,0.01609,-0.0328,0.0099,1.0,reverse
13.0,1.4342,0.03421,0.01489,-0.0338,0.0103,1.0,reverse
12.75,1.4298,0.03236,0.01362,-0.0351,0.0106,1.0,reverse
12.5,1.4235,0.03072,0.01251,-0.0365,0.0109,1.0,reverse
12.25,1.4154,0.0293,0.01157,-0.0379,0.0114,1.0,reverse
12.0,1.406,0.02801,0.01074,-0.0393,0.0119,1.0,reverse
11.5,1.3862,0.02563,0.00924,-0.0424,0.013,1.0,reverse
11.25,1.3752,0.02457,0.00858,-0.0441,0.0138,1.0,reverse
11.0,1.3637,0.02357,0.00798,-0.0458,0.0149,1.0,reverse
10.75,1.3529,0.02256,0.00737,-0.0476,0.0167,1.0,reverse
10.5,1.3475,0.0212,0.00653,-0.0503,0.0249,1.0,reverse
10.25,1.3431,0.01982,0.00576,-0.0532,0.0514,1.0,reverse
10.0,1.3293,0.01906,0.0054,-0.055,0.062,1.0,reverse
9.75,1.3133,0.01845,0.00511,-0.0566,0.0691,1.0,reverse
9.5,1.2968,0.01787,0.00483,-0.0582,0.0757,1.0,reverse
9.25,1.2802,0.01729,0.00456,-0.0598,0.0833,1.0,reverse
9.0,1.263,0.01675,0.0043,-0.0614,0.091,1.0,reverse
8.75,1.2451,0.01619,0.00403,-0.0628,0.1004,1.0,reverse
8.25,1.2088,0.01495,0.00345,-0.0656,0.1317,1.0,reverse
8.0,1.1907,0.01429,0.00314,-0.067,0.1536,1.0,reverse
7.75,1.172,0.01367,0.00288,-0.0683,0.1782,1.0,reverse
7.5,1.1522,0.01311,0.00267,-0.0694,0.2058,1.0,reverse
7.25,1.131,0.01266,0.00253,-0.0704,0.2294,1.0,reverse
7.0,1.1083,0.01231,0.00243,-0.0712,0.2469,1.0,reverse
6.75,1.0843,0.01205,0.00234,-0.0717,0.259,1.0,reverse
6.5,1.0602,0.01178,0.00226,-0.0723,0.2686,1.0,reverse
6.25,1.0352,0.01158,0.00218,-0.0728,0.2754,1.0,reverse
6.0,1.011,0.01133,0.00209,-0.0734,0.2829,1.0,reverse
5.75,0.9858,0.01113,0.00201,-0.0738,0.2898,1.0,reverse
5.5,0.961,0.01092,0.00193,-0.0743,0.296,1.0,reverse
5.25,0.9364,0.01069,0.00185,-0.0749,0.3037,1.0,reverse
5.0,0.9116,0.01048,0.00177,-0.0754,0.3126,1.0,reverse
4.75,0.8874,0.01022,0.00168,-0.076,0.3235,1.0,reverse
4.5,0.8634,0.00997,0.00159,-0.0767,0.3353,1.0,reverse
4.25,0.8394,0.00971,0.00151,-0.0774,0.3496,1.0,reverse
4.0,0.8157,0.00945,0.00142,-0.0781,0.3651,1.0,reverse
3.75,0.7921,0.00919,0.00134,-0.0789,0.3801,1.0,reverse
3.5,0.7685,0.00895,0.00127,-0.0797,0.397,1.0,reverse
