panel,rib_id,y_mm,z_dihedral_mm,chord_mm,washout_deg,leading_edge_x_mm,spar_x_mm,spar_z_mm
LH,R00,-0.000,0.000,250.000,-0.0000,0.000,75.000,8.047
LH,R01,-100.000,3.492,243.750,-0.1875,3.125,73.125,7.805
LH,R02,-200.000,6.984,237.500,-0.3750,6.250,71.250,7.565
LH,R03,-300.000,10.476,231.250,-0.5625,9.375,69.375,7.328
LH,R04,-400.000,13.968,225.000,-0.7500,12.500,67.500,7.092
LH,R05,-500.000,17.460,218.750,-0.9375,15.625,65.625,6.859
LH,R06,-600.000,20.952,212.500,-1.1250,18.750,63.750,6.628
LH,R07,-700.000,24.445,206.250,-1.3125,21.875,61.875,6.399
LH,R08,-800.000,27.937,200.000,-1.5000,25.000,60.000,6.172
RH,R00,0.000,0.000,250.000,-0.0000,0.000,75.000,8.047
RH,R01,100.000,3.492,243.750,-0.1875,3.125,73.125,7.805
RH,R02,200.000,6.984,237.500,-0.3750,6.250,71.250,7.565
RH,R03,300.000,10.476,231.250,-0.5625,9.375,69.375,7.328
RH,R04,400.000,13.968,225.000,-0.7500,12.500,67.500,7.092
RH,R05,500.000,17.460,218.750,-0.9375,15.625,65.625,6.859
RH,R06,600.000,20.952,212.500,-1.1250,18.750,63.750,6.628
RH,R07,700.000,24.445,206.250,-1.3125,21.875,61.875,6.399
RH,R08,800.000,27.937,200.000,-1.5000,25.000,60.000,6.172
